workID,DESCR,X,Y,Shape_Length,Shape_Area
255396,Commercial/Mixed Use,546524.2005,5279802.689,9.489291393,5.395018989
255397,Commercial/Mixed Use,546611.8169,5279807.453,13.86450624,11.96361833
255398,Commercial/Mixed Use,546603.3098,5279814.823,11.88083331,8.35736151
255413,Commercial/Mixed Use,546757.4398,5279563.826,25.64828511,10.25284192
255414,Commercial/Mixed Use,546728.7519,5279565.343,12.03528884,8.058623659
255415,Commercial/Mixed Use,546716.4049,5279563.572,18.59670169,8.450200705
255416,Commercial/Mixed Use,546767.1301,5279507.846,16.13285478,15.13571128
255417,Commercial/Mixed Use,546775.5318,5279508.079,11.39805246,6.299606938
255418,Commercial/Mixed Use,546773.0101,5279534.946,16.74523143,11.74438872
255421,Commercial/Mixed Use,546306.4135,5279484.11,62.02043297,42.09471918
255422,Commercial/Mixed Use,546274.3382,5279520.018,90.81747995,112.915551
255423,Commercial/Mixed Use,546411.8136,5279250.176,50.02106976,88.03264988
255462,Commercial/Mixed Use,546841.2617,5279944.038,38.55897595,31.3937267
255465,Commercial/Mixed Use,547375.0733,5279711.184,13.50437178,11.4228223
255472,Commercial/Mixed Use,546664.394,5279699.656,14.788861,11.4849504
255474,Commercial/Mixed Use,546349.8576,5279540.99,26.97393879,40.39113483
255503,Commercial/Mixed Use,551212.5329,5281067.51,27.95139839,45.72110425
255509,Commercial/Mixed Use,551194.089,5281020.339,10.42158791,6.511757875
255540,Commercial/Mixed Use,548421.7039,5281512.772,45.63499949,60.49482163
255541,Commercial/Mixed Use,548418.0704,5281496.249,13.0073555,10.24792533
255582,Commercial/Mixed Use,548400.2681,5281149.433,27.76126384,31.42131701
255629,Commercial/Mixed Use,548501.4003,5280286.478,11.51816032,7.438588245
255690,Commercial/Mixed Use,550748.3139,5280816.671,20.36499315,20.25487086
255696,Commercial/Mixed Use,549162.133,5281332.06,20.18535958,19.97317611
255787,Commercial/Mixed Use,550740.1816,5280889.034,64.63788142,97.52745318
255796,Commercial/Mixed Use,550749.5846,5280826.62,18.98354817,22.04488769
255797,Commercial/Mixed Use,550753.203,5280820.06,19.0199245,21.15213381
255798,Commercial/Mixed Use,550756.9204,5280814.145,18.85265894,22.15250028
255814,Commercial/Mixed Use,549162.9852,5281095.246,10.136811,5.813910915
255846,Commercial/Mixed Use,551218.8087,5280855.131,9.533635135,7.201592565
255847,Commercial/Mixed Use,550711.1526,5280901.518,41.85799665,97.47151696
255881,Commercial/Mixed Use,549371.013,5278941.794,58.78120069,100.9743983
255886,Commercial/Mixed Use,549293.2015,5278839.496,20.80751354,25.66175239
255926,Commercial/Mixed Use,548825.5303,5278675.804,12.84922154,9.045800095
255927,Commercial/Mixed Use,548820.0802,5278668.4,23.27542621,19.98848749
255965,Commercial/Mixed Use,549426.7414,5278295.85,25.30639528,20.40209338
255979,Commercial/Mixed Use,548815.4087,5277581.118,52.67386084,68.37156442
255980,Manufacturing/Industrial,548691.6364,5277630.067,29.29504422,47.5849137
255981,Manufacturing/Industrial,548688.0921,5277626.172,27.68444611,16.80448164
255982,Manufacturing/Industrial,548684.6086,5277617.345,35.36205068,39.8094301
255995,Commercial/Mixed Use,549417.0633,5278159.775,72.16995853,130.8525957
256001,Commercial/Mixed Use,548973.1657,5278042.763,63.5998124,127.0412127
256018,Manufacturing/Industrial,549299.1766,5277488.888,37.13308087,62.78382409
256021,Commercial/Mixed Use,549217.8895,5277750.518,18.84904264,16.01040068
256032,Manufacturing/Industrial,548502.5569,5277818.049,20.91098656,28.5756172
256033,Commercial/Mixed Use,549395.028,5278303.054,25.37613798,22.07512268
256034,Commercial/Mixed Use,549244.2687,5277952.888,54.9612544,36.89090831
256035,Commercial/Mixed Use,549157.4908,5277470.496,32.90010047,26.378013
256040,Commercial/Mixed Use,549535.2437,5278913.311,16.29763115,16.46472303
256058,Commercial/Mixed Use,550153.7056,5278806.997,25.17739211,39.51919068
256095,Commercial/Mixed Use,550126.0139,5278824.593,10.36955605,5.57502345
256096,Commercial/Mixed Use,550125.8284,5278828.92,9.307475299,5.014446995
256097,Commercial/Mixed Use,550125.9648,5278834.576,8.573116107,4.577837417
256145,Commercial/Mixed Use,550162.7474,5277653.928,29.18657852,42.63289028
256207,Commercial/Mixed Use,549789.7168,5277292.78,15.890763,11.57022303
256208,Commercial/Mixed Use,549779.353,5277323.877,13.59903503,6.284462153
256209,Commercial/Mixed Use,549784.9444,5277324.578,13.75292353,4.317426594
256210,Commercial/Mixed Use,549800.1979,5277292.533,12.91821443,7.341815936
256211,Commercial/Mixed Use,549799.6451,5277299.701,17.23746911,12.12855868
256212,Commercial/Mixed Use,549799.3646,5277308.146,20.8749343,18.32355145
256213,Commercial/Mixed Use,549799.2503,5277318.583,29.20233869,21.84311742
256214,Manufacturing/Industrial,550123.2281,5277350.812,24.78684983,36.8766805
256240,Commercial/Mixed Use,550164.301,5277628.199,26.7569719,39.92692762
256310,Commercial/Mixed Use,548785.92,5278626.871,15.43667231,11.09251676
256311,Commercial/Mixed Use,548790.5047,5278631.559,30.22559464,28.10689059
256341,Manufacturing/Industrial,550352.7526,5277746.259,34.66651275,44.71318266
256344,Commercial/Mixed Use,548421.9139,5279977.897,13.83759548,9.081049719
256345,Commercial/Mixed Use,548438.6949,5280217.153,22.9413257,24.95156834
256346,Commercial/Mixed Use,548424.6017,5280141.445,13.77255165,11.40167043
256347,Commercial/Mixed Use,548424.4979,5280155.945,19.27719003,15.71631626
256358,Commercial/Mixed Use,548971.9303,5279239.982,12.99982173,11.3860327
256457,Commercial/Mixed Use,549032.3141,5279231.703,44.72846205,56.56341758
256458,Commercial/Mixed Use,549032.1915,5279213.848,42.61674255,50.23299221
256618,Commercial/Mixed Use,549553.5945,5279262.683,19.95863578,24.05621437
256626,Commercial/Mixed Use,549573.9706,5278840.653,15.20231253,11.66396036
256719,Commercial/Mixed Use,550394.2802,5279322.459,13.60666147,7.310779802
256740,Commercial/Mixed Use,548978.6697,5279247.035,10.44793023,6.307576121
256742,Commercial/Mixed Use,549038.3469,5279237.216,18.10626314,18.16556809
256775,Commercial/Mixed Use,549545.8168,5279179.486,27.08472564,40.01927826
256813,Commercial/Mixed Use,548429.3317,5280239.262,11.22078363,6.744544291
256814,Commercial/Mixed Use,548422.231,5279990.656,16.53799125,13.82727405
